x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+75.230000E-03,+1.256783936E+00,-115.879416E-03,+18.843174E-03,+4.246231072E+00
+75.235000E-03,+1.276884438E+00,-115.879416E-03,-358.041257E-03,+2.537688345E+00
+75.240000E-03,+1.216582932E+00,-316.884443E-03,+18.843174E-03,+125.628024E-03
+75.245000E-03,+1.136180922E+00,-27.939717E-03,+18.843174E-03,+4.949748665E+00
+75.250000E-03,+1.136180922E+00,-128.442231E-03,+18.843174E-03,+37.688325E-03
+75.255000E-03,+1.055778913E+00,-78.190974E-03,+521.355748E-03,+3.844221018E+00
+75.260000E-03,+1.131155797E+00,-316.884443E-03,+18.843174E-03,+3.153266239E+00
+75.265000E-03,+975.376904E-03,+22.311539E-03,-1.991207123E+00,-75.377002E-03
+75.270000E-03,+1.015577909E+00,-115.879416E-03,+18.843174E-03,+4.949748665E+00
+75.275000E-03,+975.376904E-03,-115.879416E-03,-1.488694549E+00,-75.377002E-03
+75.280000E-03,+894.974895E-03,-128.442231E-03,+2.028893471E+00,+4.145728558E+00
+75.285000E-03,+869.849267E-03,-178.693487E-03,-483.669400E-03,+2.902009956E+00
+75.290000E-03,+854.773890E-03,-15.376903E-03,+18.843174E-03,+226.130538E-03
+75.295000E-03,+814.572886E-03,-279.196001E-03,+18.843174E-03,+4.912060223E+00
+75.300000E-03,+734.170876E-03,-115.879416E-03,+18.843174E-03,+125.628024E-03
+75.305000E-03,+709.045249E-03,-266.633186E-03,+18.843174E-03,+3.944723532E+00
+75.310000E-03,+653.768867E-03,-228.944744E-03,+1.149496466E+00,+2.650753672E+00
+75.315000E-03,+588.442235E-03,-279.196001E-03,-1.488694549E+00,+427.135564E-03
+75.320000E-03,+573.366858E-03,-115.879416E-03,-1.865578979E+00,+4.949748665E+00
+75.325000E-03,+513.065351E-03,-115.879416E-03,+18.843174E-03,+188.442095E-03
+75.330000E-03,+412.562840E-03,-115.879416E-03,-986.181974E-03,+3.844221018E+00
+75.335000E-03,+392.462337E-03,-115.879416E-03,+18.843174E-03,+2.902009956E+00
+75.340000E-03,+412.562840E-03,-115.879416E-03,+18.843174E-03,-62.814188E-03
+75.345000E-03,+307.035203E-03,-115.879416E-03,+18.843174E-03,+4.748743638E+00
+75.350000E-03,+251.758821E-03,-128.442231E-03,+18.843174E-03,+238.693352E-03
+75.355000E-03,+251.758821E-03,-115.879416E-03,+18.843174E-03,+3.793969762E+00
+75.360000E-03,+246.733696E-03,-115.879416E-03,+18.843174E-03,+3.140703425E+00
+75.365000E-03,+171.356812E-03,-115.879416E-03,+18.843174E-03,+75.376768E-03
+75.370000E-03,+45.728673E-03,-115.879416E-03,+18.843174E-03,+4.949748665E+00
+75.375000E-03,+10.552794E-03,-115.879416E-03,-1.488694549E+00,+25.125511E-03
+75.380000E-03,-69.849215E-03,-115.879416E-03,+18.843174E-03,+3.944723532E+00
+75.385000E-03,-69.849215E-03,-266.633186E-03,-483.669400E-03,+2.851758699E+00
+75.390000E-03,-150.251225E-03,-115.879416E-03,+2.028893471E+00,+326.633051E-03
+75.395000E-03,-215.577857E-03,+34.874354E-03,-358.041257E-03,+4.798994895E+00
+75.400000E-03,-311.055243E-03,-115.879416E-03,+18.843174E-03,+138.190839E-03
+75.405000E-03,-230.653234E-03,+85.125610E-03,+18.843174E-03,+3.894472275E+00
+75.410000E-03,-351.256248E-03,-228.944744E-03,+18.843174E-03,+2.751256186E+00
+75.415000E-03,-456.783885E-03,+34.874354E-03,-358.041257E-03,+376.884308E-03
+75.420000E-03,-471.859261E-03,-115.879416E-03,+18.843174E-03,+4.748743638E+00
+75.425000E-03,-532.160768E-03,+22.311539E-03,+18.843174E-03,+276.381794E-03
+75.430000E-03,-517.085392E-03,-115.879416E-03,+18.843174E-03,+3.844221018E+00
+75.435000E-03,-572.361773E-03,-279.196001E-03,+18.843174E-03,+2.600502416E+00
+75.440000E-03,-632.663280E-03,+72.562796E-03,-1.865578979E+00,+326.633051E-03
+75.445000E-03,-632.663280E-03,-115.879416E-03,+18.843174E-03,+4.899497408E+00
+75.450000E-03,-793.467298E-03,-216.381930E-03,+18.843174E-03,+439.698379E-03
+75.455000E-03,-793.467298E-03,-115.879416E-03,+1.652009040E+00,+3.793969762E+00
+75.460000E-03,-793.467298E-03,-316.884443E-03,+18.843174E-03,+2.751256186E+00
+75.465000E-03,-873.869307E-03,-115.879416E-03,+1.526380897E+00,+628.140591E-03
+75.470000E-03,-914.070312E-03,-316.884443E-03,+18.843174E-03,+4.861808966E+00
+75.475000E-03,-1.019597949E+00,+34.874354E-03,+18.843174E-03,+326.633051E-03
+75.480000E-03,-1.034673326E+00,-128.442231E-03,+2.028893471E+00,+4.145728558E+00
+75.485000E-03,-1.094974833E+00,-178.693487E-03,+18.843174E-03,+2.701004929E+00
+75.490000E-03,-1.115075335E+00,-27.939717E-03,+18.843174E-03,+527.638078E-03
+75.495000E-03,-1.180401967E+00,-115.879416E-03,+1.652009040E+00,+4.798994895E+00
+75.500000E-03,-1.195477344E+00,-115.879416E-03,+18.843174E-03,+326.633051E-03
+75.505000E-03,-1.175376842E+00,-115.879416E-03,+18.843174E-03,+4.045226045E+00
+75.510000E-03,-1.235678349E+00,-115.879416E-03,+18.843174E-03,+2.650753672E+00
