#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1895C
#Date Time: 2017-05-13 21:07::22.037

Time (s),Channel 1 (V),Channel 2 (V)
-0.0049278409090909095,0.88358951312021483,4.2429346122863452
-0.0049265909090909091,0.87359944542260237,4.2496691976327483
-0.0049253409090909096,0.90356964851546651,4.2530364903059468
-0.0049240909090909092,0.9035696485154695,4.249669197632751
-0.0049228409090909097,0.91022969364721706,4.2597710756523481
-0.0049215909090909093,0.92687980647659374,4.2530364903059468
-0.0049203409090909098,0.91688973877896762,4.2665056609987495
-0.0049190909090909094,0.95018996443772097,4.2732402463451518
-0.0049178409090909099,0.94019989674009941,4.2799748316915496
-0.0049165909090909095,0.96684007726709709,4.2799748316915522
-0.0049153409090909091,0.97017009983297109,4.2766075390183564
-0.0049140909090909096,0.96684007726709709,4.2867094170379536
-0.0049128409090909092,0.99681028035996733,4.2799748316915585
-0.0049115909090909097,0.98016016753059876,4.2934440023843559
-0.0049103409090909093,1.0167904157552266,4.2934440023843559
-0.0049090909090909098,1.0101303706234792,4.2934440023843559
-0.0049078409090909094,1.0267804834528527,4.2968112950575561
-0.0049065909090909099,1.0334405285846002,4.3001785877307546
-0.0049053409090909095,1.0434305962822292,4.3069131730771577
-0.0049040909090909092,1.0667407542433474,4.3001785877307652
-0.0049028409090909096,1.0467606188481042,4.3203823437699604
-0.0049015909090909093,1.0867208896386082,4.3069131730771577
-0.0049003409090909097,1.0700707768092315,4.3170150510967602
-0.0048990909090909094,1.0900509122044832,4.3237496364431616
-0.0048978409090909098,1.1000409799021049,4.3203823437699622
-0.0048965909090909095,1.1000409799021094,4.3271169291163627
-0.00489534090909091,1.1200211152973518,4.3237496364431633
-0.0048940909090909096,1.1100310475997355,4.3304842217895629
-0.0048928409090909092,1.1499913183902297,4.3271169291163654
-0.0048915909090909097,1.1300111829949873,4.3338515144627632
-0.0048903409090909093,1.1499913183902388,4.3372188071359643
