Frequency (Hz)	Level (dB)
1656.738281	-71.258194
1658.203125	-65.396072
1659.667969	-63.418423
1661.132813	-69.482635
1662.597656	-85.094337
1664.062500	-87.486755
1665.527344	-80.802330
1666.992188	-79.008499
1668.457031	-77.349991
1669.921875	-74.040176
1671.386719	-74.750290
1672.851563	-75.813293
1674.316406	-72.349174
1675.781250	-72.709702
1677.246094	-74.088493
1678.710938	-74.750572
1680.175781	-76.737190
1681.640625	-81.326828
1683.105469	-82.934250
1684.570313	-72.148354
1686.035156	-68.992249
1687.500000	-76.361137
1688.964844	-86.752213
1690.429688	-79.972290
1691.894531	-77.313286
1693.359375	-79.355759
1694.824219	-78.830048
1696.289063	-70.755638
1697.753906	-70.449318
1699.218750	-75.895370
1700.683594	-76.810646
1702.148438	-71.889771
1703.613281	-69.949974
1705.078125	-66.829887
1706.542969	-73.206154
1708.007813	-70.554230
1709.472656	-70.420395
1710.937500	-73.905853
1712.402344	-78.965347
1713.867188	-77.824997
1715.332031	-82.374451
1716.796875	-81.985634
1718.261719	-86.992805
1719.726563	-75.863968
1721.191406	-74.733482
1722.656250	-85.979851
1724.121094	-81.930840
1725.585938	-83.545082
1727.050781	-75.189659
1728.515625	-72.934731
1729.980469	-71.550293
1731.445313	-72.732269
1732.910156	-78.237389
1734.375000	-88.499886
1735.839844	-79.545906
1737.304688	-84.446945
1738.769531	-86.048058
1740.234375	-94.102890
1741.699219	-80.826515
1743.164063	-77.373909
1744.628906	-80.737190
1746.093750	-80.033112
1747.558594	-84.731041
1749.023438	-80.701210
1750.488281	-80.337135
1751.953125	-78.857338
1753.417969	-82.265076
1754.882813	-92.893433
1756.347656	-87.801567
1757.812500	-76.710274
1759.277344	-72.103371
1760.742188	-81.925331
1762.207031	-83.037041
1763.671875	-87.897209
1765.136719	-81.743820
1766.601563	-75.235016
1768.066406	-74.696396
1769.531250	-76.543427
1770.996094	-73.284966
1772.460938	-75.939362
1773.925781	-88.956406
1775.390625	-76.530159
1776.855469	-83.441147
1778.320313	-83.732132
1779.785156	-87.435555
1781.250000	-81.382378
1782.714844	-78.447670
1784.179688	-78.010773
1785.644531	-80.506683
