Designator	navn	beskrivelse	pris
"R53001"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R53000"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51040"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51039"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51038"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51037"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51036"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51035"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51034"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51033"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51032"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51031"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51030"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51029"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51028"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51027"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51026"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51025"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51024"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51023"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51022"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51021"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51017"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51016"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51015"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51014"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51013"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51012"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51011"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51010"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51006"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51005"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51004"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51003"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51002"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"R51001"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
